verdant:   adj. Green with vegetation. 
intercept:   v. To interrupt the course of. 
inborn:   adj. Implanted by nature. 
leviathan:   n. Any large animal, as a whale. 
reckless:   adj. Foolishly headless of danger. 
decagon:   n. A figure with ten sides and ten angles. 
necropolis:   n. A city of the dead. 
indicator:   n. One who or that which points out. 
philanthropist:   n. One who endeavors to help his fellow men. 
giver:   n. One who gives, in any sense. 
rapine:   n. The act of seizing and carrying off property by superior force, as in war. 
append:   v. To add or attach, as something accessory, subordinate, or supplementary. 
insensible:   adj. Imperceptible. 
peaceable:   adj. Tranquil. 
corrosive:   n. That which causes gradual decay by crumbling or surface disintegration. 
circumscribe:   v. To confine within bounds. 
cartridge:   n. A charge for a firearm, or for blasting. 
singe:   v. To burn slightly or superficially. 
signification:   n. The meaning conveyed by language, actions, or signs. 
pseudonymity:   n. The state or character of using a fictitious name. 
upturn:   v. To throw into confusion. 
divagation:   n. Digression. 
grantee:   n. The person to whom property is transferred by deed. 
conformable:   adj. Harmonious. 
reprisal:   n. Any infliction or act by way of retaliation on an enemy. 
disallow:   v. To withhold permission or sanction. 
gait:   n. Carriage of the body in going. 
incisor:   n. A front or cutting tooth. 
submarine:   adj. Existing, done, or operating beneath the surface of the sea. 
termagant:   adj. Violently abusive and quarrelsome. 
financial:   adj. Monetary. 
clemency:   n. Mercy. 
ampersand:   n. The character &; and. 
divulgence:   n. A divulging. 
degradation:   n. Diminution, as of strength or magnitude. 
patter:   v. To mumble something over and over. 
impersuadable:   adj. Unyielding. 
repudiate:   v. To refuse to have anything to do with. 
supine:   adj. Lying on the back. 
probate:   adj. Relating to making proof, as of a will. 
ready:   adj. In a state of preparedness for any given purpose or occasion. 
fictitious:   adj. Created or formed by the imagination. 
distillation:   n. Separation of the more volatile parts of a substance from those less volatile. 
inexpensive:   adj. Low-priced. 
pentahedron:   n. A solid bounded by five plane faces. 
heinous:   adj. Odiously sinful. 
bore:   v. To weary by tediousness or dullness. 
actuality:   n. Any reality. 
dissection:   n. The act or operation of cutting in pieces, specifically of a plant or an animal. 
impervious:   adj. Impenetrable. 
somnolence:   n. Oppressive drowsiness. 
frowzy:   adj. Slovenly in appearance. 
merciless:   adj. Cruel. 
immortalize:   v. To cause to last or to be known or remembered throughout a great or indefinite length of time. 
authenticity:   n. The state or quality of being genuine, or of the origin and authorship claimed. 
digress:   v. To turn aside from the main subject and for a time dwell on some incidental matter. 
chancery:   n. A court of equity, as distinguished from a common-law court. 
cameo:   n. Any small engraved or carved work in relief. 
advisory:   adj. Not mandatory. 
wane:   v. To diminish in size and brilliancy. 
freemason:   n. A member of an ancient secret fraternity originally confined to skilled artisans. 
penetration:   n. Discernment. 
adjuration:   n. A vehement appeal. 
efficient:   adj. Having and exercising the power to produce effects or results. 
idolize:   v. To regard with inordinate love or admiration. 
preferential:   adj. Possessing, giving, or constituting preference or priority. 
demulcent:   n. Any application soothing to an irritable surface 
replica:   n. A duplicate executed by the artist himself, and regarded, equally with the first, as an original. 
palette:   n. A thin tablet, with a hole for the thumb, upon which artists lay their colors for painting. 
remonstrant:   adj. Having the character of a reproof. 
deference:   n. Respectful submission or yielding, as to another's opinion, wishes, or judgment. 
usurp:   v. To take possession of by force. 
